ctn_no,category,actual_position_block,bay,stack,tier,first_inyard_time,last_outyard_time,order,vessel_reference,destination_port_code,ctn_status,ctn_size,weight,ctn_weight,flag
BMOU4394049,1,69,44,2,2,2022/10/29 20:21,,192,MED1,ITGOA,1,2.25,18240,6,0
TCLU1940651,1,44,91,5,2,2022/10/29 20:39,,193,MED1,FRFOS,1,1,6544.2,2,0
TGBU5873203,1,69,44,2,3,2022/10/29 20:40,,194,MED1,ITGOA,1,2.25,25363,8,0
DHIU2241452,1,2B,63,4,2,2022/10/29 20:44,,195,MED1,GRPIR,1,1,29880,9,0
TCKU3629030,1,44,29,1,2,2022/10/29 20:46,,196,MED1,GRPIR,1,1,24220,8,0
DHIU2241391,1,2B,63,6,2,2022/10/29 20:46,,197,MED1,GRPIR,1,1,29900,9,0
OOLU8534545,1,59,64,2,4,2022/10/29 21:10,,198,MED1,ESVLC,1,2.25,24620,8,0
OOCU7780403,1,62,22,4,1,2022/10/29 21:34,,199,MED1,ITGOA,1,2.25,16612,5,0
TRHU1107646,1,59,41,1,3,2022/10/29 21:36,,200,MED1,GRPIR,1,1,15944,5,0
ECMU8090712,1,54,20,5,1,2022/10/29 22:35,,201,MED1,GRPIR,1,2.25,27638,9,0
CAIU2338215,1,62,25,6,1,2022/10/29 22:52,,202,MED1,GRPIR,1,1,24220,8,0
FSCU8017143,1,59,80,3,2,2022/10/29 22:58,,203,MED1,ITGOA,1,2.25,11868,3,0
OOLU6835703,1,42,86,2,1,2022/10/29 23:06,,204,MED1,GRPIR,1,2.25,15150,5,0
BMOU1099707,1,44,29,1,1,2022/10/29 23:19,,205,MED1,GRPIR,1,1,24220,8,0
CMAU1162438,1,46,73,3,4,2022/10/30 1:09,,206,MED1,GRPIR,1,1,24220,8,0
CMAU0469780,1,46,73,1,4,2022/10/30 2:13,,207,MED1,GRPIR,1,1,24220,8,0
BMOU5089760,1,4A,30,2,1,2022/10/30 2:40,,208,MED1,ESVLC,1,2.25,26850,8,0
CSNU1627063,1,44,29,3,1,2022/10/30 2:56,,209,MED1,ITGOA,1,1,6566.5,2,0
DRYU4535810,1,55,20,3,4,2022/10/30 7:07,,210,MED1,GRPIR,1,2.25,19040,6,0
BEAU5566765,1,65,84,2,1,2022/10/30 7:08,,211,MED1,GRPIR,1,2.25,28200,9,0
FFAU1608301,1,46,28,2,4,2022/10/30 8:42,,212,MED1,ITSPE,1,2.25,25000,8,0
TEMU5785910,1,44,91,6,1,2022/10/30 9:14,,213,MED1,ESVLC,1,1,11960,3,0
FFAU1886278,1,64,66,1,1,2022/10/30 9:22,,214,MED1,GRPIR,1,2.25,11565,3,0
TEMU0986260,1,62,25,6,2,2022/10/30 10:34,,215,MED1,GRPIR,1,1,27440,9,0
APZU3513536,1,62,25,6,3,2022/10/30 10:39,,216,MED1,GRPIR,1,1,23440,7,0
CSNU6048280,1,65,32,5,4,2022/10/30 10:41,,217,MED1,GRPIR,1,2.25,30097.8,10,0
CMAU0860671,1,62,25,6,4,2022/10/30 10:44,,218,MED1,GRPIR,1,1,24220,8,0
OOCU7927583,1,64,66,1,2,2022/10/30 10:59,,219,MED1,GRPIR,1,2.25,11565,3,0
APZU3857280,1,46,73,2,1,2022/10/30 10:59,,220,MED1,GRPIR,1,1,27440,9,0
TGBU8689273,1,66,80,6,2,2022/10/30 11:19,,221,MED1,FRFOS,1,2.25,19754.9,6,0
TRHU1102900,1,46,73,2,2,2022/10/30 11:27,,222,MED1,GRPIR,1,1,27440,9,0
CMAU1894300,1,46,73,2,3,2022/10/30 11:29,,223,MED1,GRPIR,1,1,24220,8,0
SGRU2134875,1,46,73,2,4,2022/10/30 12:13,,224,MED1,GRPIR,1,1,27440,9,0
TEMU1275060,1,46,73,3,3,2022/10/30 12:31,,225,MED1,GRPIR,1,1,27440,9,0
SEKU4551849,1,59,48,5,4,2022/10/30 12:37,,226,MED1,GRPIR,1,2.25,24400,8,0
SEGU1772749,1,44,43,3,1,2022/10/30 12:42,,227,MED1,GRPIR,1,1,24220,8,0
OOCU7711763,1,42,28,1,2,2022/10/30 12:42,,228,MED1,GRPIR,1,2.25,25590,8,0
TGBU3263583,1,44,91,5,1,2022/10/30 12:49,,229,MED1,FRFOS,1,1,15412,5,0
TCKU3357219,1,44,43,3,2,2022/10/30 13:04,,230,MED1,GRPIR,1,1,24220,8,0
FCIU9614669,1,4A,30,2,2,2022/10/30 13:12,,231,MED1,ESVLC,1,2.25,24620,8,0
TCNU1744358,1,4A,86,3,1,2022/10/30 13:51,,232,MED1,ITGOA,1,2.25,24400,8,0
TCNU5478261,1,4A,86,3,2,2022/10/30 13:55,,233,MED1,ITGOA,1,2.25,24400,8,0
CMAU1903187,1,44,43,3,3,2022/10/30 13:58,,234,MED1,GRPIR,1,1,24220,8,0
FFAU3333332,1,62,22,4,2,2022/10/30 14:51,,235,MED1,ITGOA,1,2.25,26820.5,8,0
CMAU0045041,1,44,43,3,4,2022/10/30 15:00,,236,MED1,GRPIR,1,1,27440,9,0
TCLU2757007,1,44,43,3,5,2022/10/30 15:21,,237,MED1,GRPIR,1,1,27440,9,0
CSNU8039879,1,65,84,2,2,2022/10/30 15:36,,238,MED1,GRPIR,1,2.25,24620,8,0
TCKU3816410,1,4A,51,2,1,2022/10/30 15:48,,239,MED1,GRPIR,1,1,27440,9,0
TGHU1168568,1,4A,51,2,2,2022/10/30 16:33,,240,MED1,GRPIR,1,1,27440,9,0
TRLU8870200,1,4A,51,2,3,2022/10/30 17:08,,241,MED1,GRPIR,1,1,27440,9,0
CBHU9487674,1,42,86,2,2,2022/10/30 18:13,,242,MED1,GRPIR,1,2.25,14898.6,4,0
CSNU1365148,1,44,29,3,2,2022/10/30 18:30,,243,MED1,ITGOA,1,1,6662.4,2,0
OOLU1669195,1,48,13,4,4,2022/10/30 18:46,,244,MED1,ITGOA,1,1,16472,5,0
CAAU6126063,1,46,56,6,1,2022/10/30 19:14,,245,MED1,GRPIR,1,2.25,29005,9,0
TRHU7414906,1,42,86,2,4,2022/10/30 19:14,,246,MED1,GRPIR,1,2.25,29005,9,0
CSNU7206924,1,41,66,5,2,2022/10/30 19:14,,247,MED1,GRPIR,1,2.25,29005,9,0
TCNU1795191,1,41,66,1,2,2022/10/30 19:14,,248,MED1,GRPIR,1,2.25,29005,9,0
